State,+,*,^,-,(,),num,$,L,E,T,F,A
0,,,,s5,s6,,s7,,,1,2,3,4
1,s8,,,,,,,acc,,,,,
2,r2,s9,,,,,,r2,,,,,
3,r4,r4,s10,,,,,r4,,,,,
4,r6,r6,r6,,,,,r6,,,,,
5,,,,s5,s6,,s7,,,,,,11
6,,,,s16,s17,,s18,,,12,13,14,15
7,r9,r9,r9,,,,,r9,,,,,
8,,,,s5,s6,,s7,,,,19,3,4
9,,,,s5,s6,,s7,,,,,20,4
10,,,,s5,s6,,s7,,,,,,21
11,r7,r7,r7,,,,,r7,,,,,
12,s23,,,,,s22,,,,,,,
13,r2,s24,,,,r2,,,,,,,
14,r4,r4,s25,,,r4,,,,,,,
15,r6,r6,r6,,,r6,,,,,,,
16,,,,s16,s17,,s18,,,,,,26
17,,,,s16,s17,,s18,,,27,13,14,15
18,r9,r9,r9,,,r9,,,,,,,
19,r1,s9,,,,,,r1,,,,,
20,r3,r3,s10,,,,,r3,,,,,
21,r5,r5,r5,,,,,r5,,,,,
22,r8,r8,r8,,,,,r8,,,,,
23,,,,s16,s17,,s18,,,,28,14,15
24,,,,s16,s17,,s18,,,,,29,15
25,,,,s16,s17,,s18,,,,,,30
26,r7,r7,r7,,,r7,,,,,,,
27,s23,,,,,s31,,,,,,,
28,r1,s24,,,,r1,,,,,,,
29,r3,r3,s25,,,r3,,,,,,,
30,r5,r5,r5,,,r5,,,,,,,
31,r8,r8,r8,,,r8,,,,,,,
